Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Rhys Hoskins,Phillies,1B,18.30%,21.90%,0.84,0.274,0.417,0.612,1.029,0.338,3.8,0.284,0.61,24.20%,28.60%,47.20%,9.20%,26.30%,4.30%,0.00%,16472
Joey Votto,Reds,1B,17.80%,11.90%,1.5,0.314,0.441,0.547,0.987,0.233,2.6,0.317,1.05,24.40%,38.70%,36.90%,0.50%,18.20%,2.40%,0.00%,4314
Freddie Freeman,Braves,1B,14.10%,18.20%,0.78,0.304,0.411,0.577,0.987,0.272,4.1,0.335,0.83,24.00%,34.50%,41.40%,0.00%,18.50%,8.10%,0.00%,5361
Paul Goldschmidt,Diamondbacks,1B,14.40%,22.40%,0.64,0.292,0.402,0.559,0.961,0.267,5.5,0.337,1.3,18.30%,46.10%,35.50%,8.70%,24.80%,8.10%,0.00%,9218
Jose Martinez,Cardinals,1B,10.90%,17.50%,0.62,0.314,0.388,0.526,0.914,0.211,3.7,0.347,1.48,26.90%,43.70%,29.50%,8.90%,21.50%,8.50%,0.00%,7996
Matt Olson,Athletics,1B,9.30%,31.00%,0.3,0.254,0.341,0.578,0.92,0.324,2.2,0.273,0.83,19.00%,36.80%,44.20%,8.30%,37.50%,3.30%,0.00%,14344
Jose Abreu,White Sox,1B,5.00%,17.60%,0.28,0.3,0.351,0.548,0.899,0.248,4.3,0.323,1.27,18.40%,45.60%,36.00%,8.10%,18.70%,6.00%,0.00%,15676
Cody Bellinger,Dodgers,1B,11.00%,25.60%,0.43,0.27,0.351,0.566,0.917,0.296,5.6,0.305,0.81,17.30%,37.00%,45.70%,10.90%,23.60%,9.90%,75.00%,15998
Eric Hosmer,Padres,1B,9.90%,16.60%,0.6,0.313,0.38,0.493,0.873,0.18,3.3,0.351,2.6,22.40%,56.00%,21.50%,6.80%,22.90%,6.80%,100.00%,3516
Anthony Rizzo,Cubs,1B,12.80%,13.30%,0.96,0.264,0.385,0.491,0.875,0.227,4.3,0.264,1.02,19.80%,40.50%,39.70%,10.40%,16.40%,2.00%,50.00%,3473
Eric Thames,Brewers,1B,13.40%,29.40%,0.46,0.245,0.355,0.529,0.884,0.284,4.8,0.297,0.9,19.80%,38.10%,42.20%,4.90%,25.90%,4.70%,0.00%,3711
Justin Smoak,Blue Jays,1B,11.80%,21.00%,0.56,0.269,0.358,0.521,0.879,0.252,1.8,0.293,0.8,21.10%,35.00%,43.90%,6.70%,19.20%,2.40%,0.00%,9054
Justin Bour,Marlins,1B,10.90%,21.80%,0.5,0.281,0.359,0.524,0.883,0.243,1.5,0.309,1.35,22.50%,44.40%,33.00%,11.80%,26.40%,3.40%,0.00%,9744
Ryan Zimmerman,Nationals,1B,7.70%,22.30%,0.34,0.285,0.342,0.536,0.878,0.251,2.6,0.317,1.32,20.50%,45.30%,34.20%,7.90%,24.30%,7.00%,0.00%,4220
Buster Posey,Giants,1B,10.60%,11.40%,0.93,0.317,0.395,0.462,0.858,0.145,2.9,0.341,1.34,22.50%,44.40%,33.10%,3.10%,8.80%,3.80%,0.00%,9166
Adam Lind,Nationals,1B,9.30%,15.60%,0.6,0.303,0.362,0.513,0.875,0.21,2.2,0.316,1.27,17.70%,46.00%,36.30%,7.30%,17.10%,2.90%,0.00%,8027
Yonder Alonso,- - -,1B,12.80%,22.50%,0.57,0.259,0.356,0.49,0.846,0.231,2.3,0.29,0.84,21.80%,35.80%,42.50%,7.60%,19.60%,1.50%,0.00%,2530
Mark Reynolds,Rockies,1B,11.60%,29.50%,0.39,0.267,0.352,0.487,0.839,0.219,2.7,0.343,1.16,21.60%,42.10%,36.30%,10.30%,23.80%,3.40%,0.00%,7619
Joe Mauer,Twins,1B,12.10%,13.90%,0.87,0.31,0.395,0.422,0.816,0.112,2.3,0.357,2.12,25.10%,51.00%,24.00%,3.50%,6.20%,4.20%,75.00%,1857
Joey Gallo,Rangers,1B,12.90%,35.80%,0.36,0.209,0.321,0.528,0.848,0.319,5.1,0.242,0.51,17.00%,27.90%,55.10%,11.90%,28.00%,3.50%,0.00%,14128
Matt Carpenter,Cardinals,1B,17.90%,21.10%,0.85,0.236,0.381,0.441,0.822,0.205,3.1,0.271,0.55,22.70%,27.60%,49.80%,4.50%,12.40%,3.60%,50.00%,8090
Jesus Aguilar,Brewers,1B,8.30%,28.90%,0.29,0.274,0.342,0.502,0.844,0.228,2.9,0.349,1.08,21.20%,40.90%,38.00%,7.60%,20.30%,3.50%,0.00%,11342
Tyler White,Astros,1B,6.00%,23.90%,0.25,0.279,0.328,0.525,0.853,0.246,1.8,0.326,0.5,21.70%,26.10%,52.20%,8.30%,12.50%,8.30%,0.00%,15564
Brandon Belt,Giants,1B,14.50%,23.90%,0.61,0.242,0.356,0.459,0.815,0.216,4,0.292,0.63,23.30%,29.70%,47.00%,11.30%,13.50%,4.50%,57.10%,10264
Trey Mancini,Orioles,1B,6.30%,23.10%,0.27,0.293,0.342,0.48,0.823,0.187,2.9,0.351,1.76,19.50%,51.30%,29.20%,8.10%,19.30%,10.10%,0.00%,15149
Logan Morrison,- - -,1B,13.40%,24.70%,0.54,0.235,0.343,0.488,0.831,0.253,2.4,0.256,0.73,20.10%,33.60%,46.30%,9.90%,20.90%,2.30%,0.00%,9205
Matt Adams,- - -,1B,7.20%,24.80%,0.29,0.268,0.322,0.518,0.839,0.249,1.9,0.307,0.91,19.00%,38.50%,42.50%,6.90%,19.00%,3.80%,0.00%,9393
Yulieski Gurriel,Astros,1B,3.90%,10.90%,0.36,0.297,0.329,0.486,0.816,0.189,2.8,0.304,1.32,19.10%,46.00%,34.80%,12.90%,11.10%,5.80%,0.00%,19198
