Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Chance Sisco,Orioles,C,10.90%,34.50%,0.32,0.292,0.382,0.521,0.903,0.229,0.2,0.444,1.88,17.90%,53.60%,28.60%,0.00%,25.00%,0.00%,100.00%,15694
Austin Barnes,Dodgers,C,15.30%,16.70%,0.92,0.285,0.406,0.469,0.875,0.184,4.8,0.328,1.66,26.20%,46.10%,27.70%,7.50%,15.10%,4.50%,0.00%,12158
Kurt Suzuki,Braves,C,6.30%,11.40%,0.55,0.282,0.355,0.531,0.886,0.249,1.1,0.263,0.73,19.60%,33.90%,46.50%,15.90%,16.70%,4.30%,50.00%,8259
Buster Posey,Giants,C,10.60%,11.40%,0.93,0.317,0.395,0.462,0.858,0.145,2.9,0.341,1.34,22.50%,44.40%,33.10%,3.10%,8.80%,3.80%,0.00%,9166
Chris Iannetta,- - -,C,11.90%,27.20%,0.44,0.256,0.356,0.494,0.85,0.238,1.1,0.317,0.92,22.30%,37.30%,40.50%,10.10%,20.20%,8.50%,0.00%,8267
Willson Contreras,Cubs,C,10.00%,22.60%,0.44,0.277,0.357,0.487,0.844,0.21,2.8,0.327,1.76,17.90%,52.40%,29.80%,10.50%,22.10%,10.80%,50.00%,11609
Tyler Flowers,Braves,C,8.40%,22.20%,0.38,0.281,0.378,0.445,0.823,0.164,1.4,0.342,1.27,24.50%,42.20%,33.30%,5.10%,15.20%,7.00%,0.00%,9134
Gary Sanchez,Yankees,C,7.00%,22.40%,0.31,0.268,0.332,0.518,0.85,0.25,2.6,0.29,1.12,19.90%,42.30%,37.80%,12.50%,23.70%,8.80%,0.00%,11442
Robinson Chirinos,Rangers,C,10.10%,26.80%,0.38,0.241,0.346,0.482,0.828,0.241,3.2,0.286,0.78,12.60%,38.30%,49.10%,14.30%,18.10%,3.70%,0.00%,3142
Mike Zunino,Mariners,C,9.00%,36.80%,0.24,0.251,0.331,0.509,0.84,0.258,1.9,0.355,0.7,22.40%,32.00%,45.60%,12.50%,24.00%,4.10%,0.00%,13265
Alex Avila,- - -,C,16.60%,32.30%,0.52,0.254,0.38,0.432,0.812,0.178,1.7,0.37,1.14,27.50%,38.60%,33.80%,1.40%,21.40%,3.80%,0.00%,7476
Max Stassi,Astros,C,13.10%,24.60%,0.53,0.22,0.344,0.46,0.804,0.24,1.1,0.242,0.68,11.10%,36.10%,52.80%,10.50%,15.80%,7.70%,0.00%,10059
Welington Castillo,- - -,C,6.00%,26.40%,0.23,0.277,0.319,0.489,0.808,0.212,1,0.328,1.12,22.70%,40.90%,36.40%,9.20%,22.40%,7.30%,0.00%,3256
Yasmani Grandal,Dodgers,C,8.60%,26.20%,0.33,0.257,0.32,0.474,0.795,0.218,1.1,0.309,1.15,16.70%,44.50%,38.80%,14.10%,18.50%,4.50%,0.00%,11368
Jorge Alfaro,Phillies,C,3.90%,33.10%,0.12,0.287,0.338,0.455,0.792,0.168,0.7,0.407,1.89,15.20%,55.40%,29.30%,3.70%,22.20%,7.80%,0.00%,12180
J.T. Realmuto,Marlins,C,6.20%,18.40%,0.34,0.28,0.333,0.457,0.79,0.177,5,0.319,1.39,18.10%,47.70%,34.30%,5.40%,12.20%,10.70%,0.00%,11739
Brian McCann,Astros,C,9.80%,15.20%,0.64,0.249,0.336,0.435,0.771,0.186,2.6,0.252,0.96,17.60%,40.30%,42.10%,12.70%,14.20%,3.90%,100.00%,4810
Salvador Perez,Royals,C,3.40%,19.00%,0.18,0.268,0.297,0.495,0.792,0.227,2.4,0.28,0.71,19.70%,33.30%,47.00%,10.60%,15.10%,2.40%,0.00%,7304
Tucker Barnhart,Reds,C,10.70%,16.40%,0.65,0.274,0.355,0.416,0.772,0.143,3.2,0.316,1.61,26.40%,45.30%,28.20%,6.40%,9.60%,4.00%,18.20%,10200
Kevin Plawecki,Mets,C,13.70%,15.80%,0.87,0.242,0.37,0.367,0.737,0.125,2.9,0.274,1.85,21.40%,51.00%,27.60%,7.40%,11.10%,6.00%,0.00%,13807
Francisco Cervelli,Pirates,C,10.40%,20.50%,0.51,0.252,0.345,0.394,0.74,0.142,3.6,0.308,1.6,19.40%,49.60%,31.00%,4.00%,9.30%,5.00%,50.00%,5275
Chris Gimenez,Twins,C,14.70%,26.70%,0.55,0.22,0.35,0.382,0.731,0.161,2.7,0.286,1,25.80%,37.10%,37.10%,15.20%,15.20%,2.20%,25.00%,7324
