Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Shohei Ohtani,Angels,P,9.10%,21.20%,0.43,0.367,0.424,0.767,1.191,0.4,3.2,0.4,2,21.70%,52.20%,26.10%,0.00%,50.00%,0.00%,0.00%,19755
Tyler Glasnow,Pirates,P,17.40%,30.40%,0.57,0.294,0.455,0.294,0.749,0,0.2,0.5,8,0.00%,88.90%,11.10%,0.00%,0.00%,25.00%,0.00%,14374
Travis Wood,- - -,P,0.00%,38.90%,0,0.222,0.222,0.556,0.778,0.333,2.6,0.222,0.33,27.30%,18.20%,54.50%,16.70%,33.30%,50.00%,0.00%,9884
Trevor Cahill,- - -,P,5.60%,22.20%,0.25,0.286,0.333,0.357,0.69,0.071,0.8,0.4,1.67,20.00%,50.00%,30.00%,0.00%,0.00%,0.00%,0.00%,6249
Madison Bumgarner,Giants,P,5.60%,30.60%,0.18,0.206,0.25,0.471,0.721,0.265,0.6,0.2,1.11,17.40%,43.50%,39.10%,22.20%,33.30%,10.00%,0.00%,5524
Chris Rusin,Rockies,P,0.00%,30.00%,0,0.333,0.333,0.333,0.667,0,1.6,0.5,3,50.00%,50.00%,0.00%,0.00%,0.00%,33.30%,0.00%,9895
Adam Wainwright,Cardinals,P,1.80%,32.70%,0.06,0.234,0.25,0.404,0.654,0.17,2.6,0.333,1,14.30%,42.90%,42.90%,0.00%,16.70%,0.00%,0.00%,2233
A.J. Cole,Nationals,P,10.00%,30.00%,0.33,0.176,0.263,0.353,0.616,0.176,0.1,0.2,1.5,9.10%,54.50%,36.40%,25.00%,25.00%,0.00%,0.00%,11467
Vince Velasquez,Phillies,P,3.30%,16.70%,0.2,0.286,0.31,0.286,0.596,0,0.9,0.348,2,14.30%,57.10%,28.60%,16.70%,0.00%,8.30%,33.30%,11189
Ty Blach,Giants,P,6.80%,39.00%,0.17,0.22,0.273,0.32,0.593,0.1,1.3,0.37,1.57,30.80%,42.30%,26.90%,0.00%,14.30%,0.00%,16.70%,14361
Noah Syndergaard,Mets,P,13.60%,45.50%,0.3,0.176,0.3,0.235,0.535,0.059,0.1,0.429,1,14.30%,42.90%,42.90%,33.30%,0.00%,0.00%,0.00%,11762
Ben Lively,Phillies,P,0.00%,35.50%,0,0.194,0.194,0.387,0.581,0.194,0.1,0.222,1.71,5.00%,60.00%,35.00%,0.00%,28.60%,0.00%,0.00%,14932
Steven Brault,Pirates,P,0.00%,0.00%,0,0.25,0.25,0.3,0.55,0.05,2,0.25,7,15.80%,73.70%,10.50%,0.00%,0.00%,0.00%,0.00%,15291
Michael Lorenzen,Reds,P,0.00%,41.70%,0,0.167,0.167,0.417,0.583,0.25,0.1,0.167,5,14.30%,71.40%,14.30%,0.00%,100.00%,0.00%,0.00%,14843
Jordan Lyles,- - -,P,7.10%,42.90%,0.17,0.231,0.286,0.231,0.516,0,1.1,0.429,5,14.30%,71.40%,14.30%,0.00%,0.00%,0.00%,0.00%,7593
Wily Peralta,Brewers,P,6.70%,26.70%,0.25,0.231,0.286,0.231,0.516,0,0.1,0.333,0.5,33.30%,22.20%,44.40%,25.00%,0.00%,50.00%,0.00%,7738
Zack Greinke,Diamondbacks,P,5.20%,26.00%,0.2,0.197,0.254,0.258,0.511,0.061,1.4,0.283,1.5,34.80%,39.10%,26.10%,8.30%,0.00%,11.10%,0.00%,1943
Robbie Ray,Diamondbacks,P,4.40%,33.80%,0.13,0.224,0.258,0.259,0.517,0.034,1.5,0.361,2.71,21.20%,57.60%,21.20%,14.30%,0.00%,5.30%,22.20%,11486
Jacob deGrom,Mets,P,3.40%,27.60%,0.13,0.215,0.244,0.266,0.51,0.051,3.4,0.296,1.79,29.10%,45.50%,25.50%,42.90%,7.10%,8.00%,20.00%,10954
Brandon Woodruff,Brewers,P,7.70%,15.40%,0.5,0.2,0.273,0.2,0.473,0,2.6,0.25,7,12.50%,87.50%,0.00%,0.00%,0.00%,0.00%,0.00%,16162
Taijuan Walker,Diamondbacks,P,1.70%,34.50%,0.05,0.214,0.228,0.286,0.514,0.071,2.1,0.314,3.83,19.40%,63.90%,16.70%,0.00%,16.70%,8.70%,0.00%,11836
Mike Montgomery,Cubs,P,0.00%,33.30%,0,0.185,0.185,0.333,0.519,0.148,2.6,0.25,13,17.60%,76.50%,5.90%,0.00%,100.00%,15.40%,0.00%,4869
Homer Bailey,Reds,P,0.00%,37.20%,0,0.222,0.222,0.278,0.5,0.056,2.6,0.4,16,20.00%,80.00%,0.00%,0.00%,0.00%,12.50%,14.30%,8362
