Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Pedro Alvarez,Orioles,DH,14.90%,23.90%,0.63,0.316,0.418,0.526,0.944,0.211,1,0.395,0.78,22.00%,34.10%,43.90%,0.00%,16.70%,7.10%,0.00%,2495
Nelson Cruz,Mariners,DH,10.60%,21.40%,0.5,0.284,0.37,0.551,0.921,0.267,1.7,0.306,0.98,17.50%,40.80%,41.70%,6.50%,22.80%,7.20%,0.00%,2434
Adrian Beltre,Rangers,DH,9.90%,13.80%,0.72,0.307,0.376,0.511,0.887,0.204,2.2,0.321,1.2,22.80%,42.20%,35.00%,11.40%,14.60%,2.70%,0.00%,639
Khris Davis,Athletics,DH,10.90%,29.50%,0.37,0.248,0.336,0.53,0.866,0.281,3.2,0.289,0.9,18.70%,38.60%,42.80%,6.60%,26.20%,5.50%,0.00%,9112
Edwin Encarnacion,Indians,DH,15.00%,20.60%,0.73,0.248,0.366,0.487,0.853,0.239,2.6,0.26,0.89,20.60%,37.30%,42.10%,9.80%,21.10%,3.50%,0.00%,2151
Miguel Andujar,Yankees,DH,5.90%,11.80%,0.5,0.277,0.314,0.511,0.824,0.234,6.7,0.293,1,14.30%,42.90%,42.90%,27.80%,5.60%,0.00%,0.00%,15878
Corey Dickerson,- - -,DH,5.30%,22.90%,0.23,0.287,0.328,0.493,0.821,0.206,4.6,0.34,1.14,24.20%,40.40%,35.40%,5.70%,16.10%,9.50%,100.00%,10762
Shin-Soo Choo,Rangers,DH,11.70%,20.90%,0.56,0.256,0.35,0.423,0.773,0.167,4.4,0.295,1.8,23.20%,49.40%,27.40%,1.60%,20.20%,2.60%,50.00%,3174
Tyler Austin,Yankees,DH,9.60%,35.10%,0.27,0.244,0.319,0.463,0.783,0.22,3.9,0.34,0.94,31.40%,33.30%,35.30%,11.10%,22.20%,0.00%,0.00%,11850
Hanley Ramirez,Red Sox,DH,9.00%,20.70%,0.43,0.25,0.326,0.441,0.767,0.191,2.2,0.281,1.11,22.10%,40.90%,36.90%,12.10%,16.60%,2.90%,0.00%,8001
Kennys Vargas,Twins,DH,7.60%,29.20%,0.26,0.253,0.314,0.444,0.758,0.191,1.5,0.325,1.51,19.40%,48.50%,32.10%,17.00%,20.80%,7.50%,0.00%,12101
Robbie Grossman,Twins,DH,14.10%,18.40%,0.77,0.24,0.352,0.37,0.722,0.13,3.5,0.284,1.15,24.40%,40.40%,35.30%,9.10%,8.20%,7.10%,20.00%,5254
Matt Holliday,Yankees,DH,10.80%,26.70%,0.4,0.231,0.316,0.432,0.748,0.201,2.1,0.273,1.27,14.80%,47.70%,37.50%,11.10%,19.20%,9.50%,0.00%,1873
Kendrys Morales,Blue Jays,DH,7.10%,22.10%,0.32,0.249,0.306,0.442,0.749,0.193,1.1,0.278,1.42,18.50%,47.90%,33.60%,6.00%,19.50%,1.90%,0.00%,8610
Evan Gattis,Astros,DH,6.30%,17.40%,0.36,0.256,0.31,0.432,0.742,0.176,1.9,0.283,0.88,20.80%,37.20%,42.00%,17.40%,9.90%,6.50%,0.00%,11003
Ryon Healy,- - -,DH,3.80%,23.60%,0.16,0.264,0.296,0.44,0.736,0.176,1.4,0.311,1.13,18.80%,43.00%,38.10%,7.60%,14.50%,8.80%,100.00%,15447
Victor Martinez,Tigers,DH,8.30%,14.10%,0.59,0.26,0.329,0.382,0.712,0.122,0.8,0.285,1.19,23.90%,41.30%,34.80%,6.30%,8.60%,2.00%,100.00%,393
Chris Young,- - -,DH,10.50%,20.60%,0.51,0.236,0.321,0.386,0.706,0.15,4.2,0.28,0.81,18.90%,36.20%,44.90%,19.30%,8.00%,7.00%,0.00%,3882
Matt Davidson,White Sox,DH,5.80%,36.90%,0.16,0.218,0.271,0.462,0.732,0.244,1.9,0.277,0.8,17.10%,36.80%,46.10%,8.50%,24.00%,1.90%,0.00%,7226
Dan Vogelbach,Mariners,DH,7.40%,35.30%,0.21,0.23,0.309,0.377,0.686,0.148,0.3,0.343,0.93,27.00%,35.10%,37.80%,7.10%,14.30%,7.70%,0.00%,14130
Brandon Moss,Royals,DH,9.20%,31.90%,0.29,0.207,0.279,0.428,0.707,0.221,2.3,0.248,0.74,22.50%,33.10%,44.50%,4.80%,21.00%,1.30%,0.00%,4467
Rickie Weeks Jr.,Rays,DH,10.70%,43.80%,0.24,0.216,0.321,0.34,0.662,0.124,3.7,0.413,1,19.10%,40.40%,40.40%,10.50%,10.50%,0.00%,0.00%,1849
Mark Trumbo,Orioles,DH,7.00%,24.70%,0.28,0.234,0.289,0.397,0.686,0.163,2.5,0.278,1.07,16.10%,43.30%,40.60%,15.00%,13.80%,9.00%,0.00%,6876
Albert Pujols,Angels,DH,5.50%,14.70%,0.37,0.246,0.288,0.394,0.682,0.148,2,0.256,1.14,19.10%,43.10%,37.80%,13.10%,12.10%,1.60%,0.00%,1177
Carlos Beltran,Astros,DH,6.50%,20.00%,0.32,0.231,0.283,0.383,0.666,0.152,1.8,0.263,1.07,16.40%,43.10%,40.40%,8.70%,9.30%,11.30%,0.00%,589
Jorge Soler,Royals,DH,10.80%,31.00%,0.35,0.174,0.272,0.268,0.54,0.094,1.3,0.25,1.03,16.70%,42.20%,41.10%,13.50%,5.40%,0.00%,0.00%,14221
Cody Asche,White Sox,DH,4.80%,33.90%,0.14,0.105,0.177,0.175,0.353,0.07,2.6,0.143,0.81,19.40%,36.10%,44.40%,18.80%,6.30%,0.00%,0.00%,11997
