Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Mike Trout,Angels,OF,18.20%,17.90%,1.02,0.301,0.435,0.624,1.059,0.323,5.9,0.31,0.78,18.20%,35.90%,45.90%,8.90%,23.10%,10.60%,0.00%,10155
Aaron Judge,Yankees,OF,18.90%,30.00%,0.63,0.29,0.428,0.624,1.052,0.334,4.6,0.365,0.81,23.00%,34.60%,42.50%,7.50%,34.80%,4.60%,0.00%,15640
Rhys Hoskins,Phillies,OF,18.30%,21.90%,0.84,0.274,0.417,0.612,1.029,0.338,3.8,0.284,0.61,24.20%,28.60%,47.20%,9.20%,26.30%,4.30%,0.00%,16472
Bryce Harper,Nationals,OF,15.80%,19.10%,0.83,0.317,0.423,0.613,1.036,0.296,3.9,0.339,1.06,21.30%,40.40%,38.30%,5.60%,26.10%,9.30%,100.00%,11579
Jeremy Hazelbaker,Diamondbacks,OF,14.80%,32.80%,0.45,0.346,0.443,0.577,1.02,0.231,6.5,0.533,1,25.00%,37.50%,37.50%,0.00%,16.70%,25.00%,0.00%,9399
J.D. Martinez,- - -,OF,10.30%,26.70%,0.39,0.299,0.368,0.668,1.036,0.369,4.8,0.329,0.89,19.20%,38.10%,42.70%,6.00%,32.20%,6.00%,0.00%,6184
Charlie Blackmon,Rockies,OF,9.10%,18.70%,0.49,0.329,0.398,0.612,1.01,0.283,6.4,0.364,1.07,22.10%,40.30%,37.60%,6.70%,21.20%,7.20%,20.00%,7859
Giancarlo Stanton,- - -,OF,12.00%,25.00%,0.48,0.273,0.368,0.609,0.977,0.336,3,0.289,1.16,16.20%,44.90%,38.80%,16.30%,33.70%,6.10%,0.00%,4949
Tommy Pham,Cardinals,OF,13.90%,21.80%,0.64,0.308,0.415,0.514,0.928,0.206,5.8,0.372,2,22.60%,51.60%,25.80%,7.20%,25.80%,9.80%,33.30%,2967
Adam Eaton,Nationals,OF,12.10%,14.30%,0.85,0.308,0.4,0.508,0.908,0.2,6.2,0.34,1.5,20.00%,48.00%,32.00%,6.30%,12.50%,16.70%,0.00%,11205
Michael Conforto,Mets,OF,13.70%,25.90%,0.53,0.277,0.388,0.546,0.934,0.269,3.4,0.331,0.97,24.50%,37.20%,38.30%,13.00%,25.90%,10.50%,0.00%,16376
Jose Martinez,Cardinals,OF,10.90%,17.50%,0.62,0.314,0.388,0.526,0.914,0.211,3.7,0.347,1.48,26.90%,43.70%,29.50%,8.90%,21.50%,8.50%,0.00%,7996
Marcell Ozuna,- - -,OF,8.80%,21.70%,0.4,0.307,0.367,0.531,0.899,0.224,2.2,0.353,1.43,20.10%,47.00%,32.90%,8.10%,22.70%,7.30%,0.00%,10324
Justin Upton,- - -,OF,11.30%,27.30%,0.42,0.275,0.36,0.538,0.898,0.262,4.1,0.337,0.87,20.00%,37.10%,42.90%,8.10%,21.00%,5.00%,0.00%,5222
Cody Bellinger,Dodgers,OF,11.00%,25.60%,0.43,0.27,0.351,0.566,0.917,0.296,5.6,0.305,0.81,17.30%,37.00%,45.70%,10.90%,23.60%,9.90%,75.00%,15998
