Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Carlos Correa,Astros,SS,10.90%,19.80%,0.55,0.312,0.385,0.541,0.926,0.229,3.8,0.351,1.44,22.20%,45.90%,31.90%,6.60%,21.50%,9.80%,0.00%,14162
Zack Cozart,- - -,SS,11.30%,14.90%,0.76,0.292,0.376,0.535,0.91,0.243,5.6,0.306,0.89,20.00%,37.70%,42.20%,11.70%,14.50%,6.90%,0.00%,2616
Paul DeJong,Cardinals,SS,4.70%,30.10%,0.16,0.28,0.32,0.528,0.848,0.248,2.4,0.35,0.77,23.90%,33.00%,43.10%,14.20%,21.30%,9.30%,0.00%,18015
Tzu-Wei Lin,Red Sox,SS,13.60%,24.70%,0.55,0.304,0.4,0.391,0.791,0.087,5,0.429,1.54,31.30%,41.70%,27.10%,7.70%,0.00%,15.00%,50.00%,14678
Didi Gregorius,Yankees,SS,6.10%,11.60%,0.53,0.291,0.334,0.506,0.84,0.215,3.2,0.285,0.8,20.00%,35.60%,44.40%,15.60%,13.00%,8.60%,0.00%,6012
Corey Seager,Dodgers,SS,10.70%,20.60%,0.52,0.286,0.365,0.456,0.821,0.17,2.6,0.338,1.31,24.80%,42.60%,32.50%,3.90%,15.10%,4.50%,0.00%,13624
Francisco Lindor,Indians,SS,8.10%,13.50%,0.6,0.27,0.333,0.497,0.831,0.227,5.3,0.275,0.93,19.40%,38.90%,41.70%,6.30%,13.90%,8.10%,41.70%,12916
Elvis Andrus,Rangers,SS,6.10%,13.70%,0.45,0.299,0.344,0.473,0.818,0.174,5.5,0.324,1.55,20.00%,48.70%,31.40%,9.10%,11.80%,8.60%,0.00%,8709
Asdrubal Cabrera,Mets,SS,8.90%,15.30%,0.58,0.287,0.354,0.455,0.809,0.168,2.5,0.314,1.16,20.00%,43.00%,37.00%,6.00%,10.80%,7.70%,25.00%,4962
Scott Kingery,Phillies,SS,8.20%,23.00%,0.36,0.255,0.311,0.491,0.802,0.236,6.4,0.3,0.83,21.40%,35.70%,42.90%,22.20%,11.10%,6.70%,0.00%,17975
Trea Turner,Nationals,SS,8.50%,17.70%,0.48,0.279,0.345,0.435,0.781,0.156,8.6,0.325,1.51,15.60%,50.80%,33.60%,5.40%,9.30%,11.80%,66.70%,16252
Jean Segura,Mariners,SS,5.90%,15.00%,0.39,0.3,0.347,0.429,0.776,0.129,5.8,0.341,2.02,19.40%,53.90%,26.70%,7.60%,9.20%,9.10%,66.70%,5933
Javier Baez,Cubs,SS,6.30%,27.70%,0.23,0.269,0.319,0.498,0.817,0.229,6,0.332,1.27,16.30%,46.80%,36.80%,10.50%,21.10%,8.90%,20.00%,12979
Xander Bogaerts,Red Sox,SS,8.60%,18.20%,0.47,0.279,0.347,0.422,0.769,0.143,6.4,0.332,1.54,21.40%,47.60%,31.00%,13.20%,7.90%,11.60%,0.00%,12161
Johan Camargo,Braves,SS,4.70%,19.90%,0.24,0.299,0.331,0.452,0.783,0.154,3,0.364,1.54,21.50%,47.60%,30.90%,15.30%,6.80%,7.70%,0.00%,14950
Eric Sogard,Brewers,SS,13.90%,14.20%,0.98,0.26,0.372,0.361,0.733,0.102,3.2,0.303,1.14,29.10%,37.80%,33.00%,9.20%,3.90%,1.10%,44.40%,7927
